Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,previsão
2020-06-19,28.73614307628459,28.941402213204263,27.63165947148195,27.973756790161133,880400,0.0,0.0,27.04653
2020-06-22,28.34517632029165,31.023306548908995,28.237659537679413,29.6353702545166,2644900,0.0,0.0,27.270336
2020-06-23,30.055657915228416,30.290238436219006,28.990270217220985,30.2022705078125,1626800,0.0,0.0,28.819008
2020-06-24,30.270690733612835,30.53459452877287,29.175981594422083,29.684240341186523,2178000,0.0,0.0,29.194975
2020-06-25,29.73311210426293,30.339113235473636,29.02937047884313,30.339113235473636,1131200,0.0,0.0,28.800848
2020-06-26,30.33911419226624,30.47595237989872,28.433144666594227,28.853435516357425,1012000,0.0,0.0,29.527918
2020-06-29,28.85343599066193,29.85040473937988,27.963984027868616,29.850404739379883,955900,0.0,0.0,27.987919
2020-06-30,29.86017743792235,30.759403827679947,29.14666135264744,30.309791564941406,1260700,0.0,0.0,29.162487
2020-07-01,30.57369407807037,31.277435710413723,30.114305547934187,31.00375747680664,1559100,0.0,0.0,29.356672
2020-07-02,31.766145310475537,32.577405580421505,29.98724147137377,30.59324073791504,1665700,0.0,0.0,30.056406
2020-07-03,30.642115236545195,32.22553634643555,30.45640492749397,32.22553634643555,743800,0.0,0.0,29.649284
2020-07-06,32.733789938560115,32.95859603961115,32.15711212158203,32.15711212158203,1171400,0.0,0.0,31.26429
2020-07-07,32.16688521873861,32.57740347039809,31.560885991447638,32.215755462646484,1167700,0.0,0.0,31.020031
2020-07-08,32.64582735217263,33.69166638535482,32.2353090402216,33.44731140136719,2786100,0.0,0.0,31.237709
2020-07-09,33.44731065407171,33.93602061112799,32.772888527054945,33.183406829833984,1079000,0.0,0.0,32.341587
2020-07-10,32.83153411734518,34.28789138793945,32.83153411734518,34.28789138793945,1074700,0.0,0.0,32.00778
2020-07-13,34.54737254779379,34.96005642329673,33.21106856727769,33.59427261352539,1220900,0.184084,0.0,33.13868
2020-07-14,33.61392235521446,34.370506286621094,33.17176242799892,34.370506286621094,1297100,0.0,0.0,32.40316
2020-07-15,34.78319284548122,34.88144894886204,33.260197005467965,33.348628997802734,634500,0.0,0.0,33.263046
2020-07-16,33.38793112164871,33.91852304678526,32.985075122540565,33.545143127441406,966100,0.0,0.0,32.21369
2020-07-17,34.31154719381902,34.63579902640786,33.161935238050084,33.515663146972656,1043200,0.0,0.0,32.554962
2020-07-20,33.515667990174805,34.19364408142814,33.289675959757034,33.4468879699707,1176800,0.0,0.0,32.41081
2020-07-21,33.4665417717955,34.04626179398645,32.96542588489931,33.25037384033203,1043900,0.0,0.0,32.37065
2020-07-22,33.04403234221372,33.741660411351674,32.30710033300967,33.20124435424805,1040300,0.0,0.0,32.1959
2020-07-23,33.122632070248066,33.3584519310608,31.83546006417672,32.02214813232422,772400,0.0,0.0,32.161343
2020-07-24,31.93371922486013,31.97302316348129,30.793931242455866,31.81581115722656,1164900,0.0,0.0,31.06477
2020-07-27,32.01232856100852,32.80821273909356,31.452256780707494,32.228492736816406,918100,0.0,0.0,30.97687
2020-07-28,32.74925841300001,32.76890663367799,31.23609054116777,31.638946533203125,1508800,0.0,0.0,31.259731
2020-07-29,31.973020466292372,33.977476188120185,31.776504537994235,33.83991241455078,1925900,0.0,0.0,30.658192
2020-07-30,33.456708441761286,33.780960285938335,33.044028365422754,33.505836486816406,661500,0.0,0.0,32.74243
2020-07-31,33.98730168719168,34.26242174911791,32.572393692418565,32.82786178588867,1042000,0.0,0.0,32.210682
2020-08-03,33.161934858113256,33.33879881054821,32.01232291551545,32.06145095825195,914000,0.0,0.0,31.838173
2020-08-04,31.93372019307859,32.385704256236195,31.45225630094636,32.08110809326172,574100,0.0,0.0,31.160604
2020-08-05,31.65859599720696,32.69029991974176,31.65859599720696,32.32674789428711,684900,0.0,0.0,31.181498
2020-08-06,32.33657647924015,33.15211637022316,32.26779645810063,32.86716842651367,649700,0.0,0.0,31.33017
2020-08-07,32.85733719782749,33.26019317243024,31.16730730130168,31.452253341674805,1569200,0.0,0.0,31.803028
2020-08-10,31.59964108268745,31.864937027898097,30.51880720799265,31.05922508239746,841700,0.0,0.0,30.4737
2020-08-11,31.393302752538357,31.638946743171317,30.607240858043927,30.833232879638672,831400,0.0,0.0,30.292267
2020-08-12,30.54828793540449,30.970795914508766,29.60501400254832,30.26333999633789,1028400,0.0,0.0,29.97969
2020-08-13,30.2633388963348,31.196786810386016,30.06682482829738,30.833232879638672,858200,0.0,0.0,29.425402
2020-08-14,30.67602200912692,31.66842399284988,30.2633400146492,31.324522018432617,1046200,0.0,0.0,29.995872
2020-08-17,31.442431422249456,31.481735361102444,29.2021575087328,29.418325424194336,1597100,0.0,0.0,30.34519
2020-08-18,29.418323239445627,31.059225082397464,29.418323239445627,31.05922508239746,838200,0.0,0.0,28.54228
2020-08-19,31.147657290289533,31.63894524834385,30.65636933223522,30.951141357421875,721800,0.0,0.0,30.332552
2020-08-20,30.54828357236538,32.14988327026367,30.30263960788777,32.14988327026367,526100,0.0,0.0,29.896204
2020-08-21,32.14988343332114,32.57239135422387,31.4522517220121,32.542911529541016,1253300,0.0,0.0,31.169966
